 Data1   	  Data2    	  Data3    	  Data4    	  Data5
 3206.28 	  4626.38 	  3949.17 	  4024.61 	  2241.97 	
 2079.10 	  1561.93 	  3346.54 	  2607.13 	  2218.03 	
 3350.86 	  2333.28 	  3772.88 	  3047.39 	  1902.95 	
 2430.89 	  2807.21 	   654.59 	  3284.81 	  2560.76 	
 2069.45 	  2872.17 	  1670.88 	  2190.53 	  2631.45 	
  929.29 	  1416.21 	  2811.68 	  1733.66 	  1651.25 	
 3392.52 	  3357.21 	  1658.71 	  3015.39 	  2285.55 	
 3112.78 	  2310.45 	  1380.91 	  2140.83 	  1644.64 	
 3118.76 	  2679.67 	  1285.36 	  1116.05 	  4819.32 	
 4093.89 	  2166.13 	  3351.28 	  2329.60 	  1749.01 	
 3987.46 	  1840.67 	  1330.70 	  3447.21 	  1847.82 	
 2745.41 	  3210.98 	  2767.35 	  2426.90 	  3465.47 	
 3759.10 	  1691.43 	  2711.06 	  2155.43 	  2169.96 	
 3869.82 	  3236.71 	  1988.30 	  2555.34 	  2520.14 	
 1566.39 	  2008.28 	  2037.09 	  2110.01 	  3455.07 	
 2752.77 	  1811.83 	  3948.80 	  1853.59 	  2619.09 	
 2050.30 	  1579.62 	  2312.66 	  1597.16 	  2619.18 	
 2760.96 	  1943.01 	  2254.37 	  3651.58 	  2111.77 	
 1682.56 	  2619.97 	  2346.00 	  2827.91 	  1962.11 	
 3428.38 	  2394.23 	  3247.97 	  3103.64 	  3019.33 	
 3259.76 	  3237.86 	  1190.03 	  1794.29 	  3750.34 	
 2220.49 	  2312.02 	  1141.86 	  2206.18 	  3737.56 	
 2397.92 	  1311.60 	  1342.83 	  4193.02 	  2317.74 	
 3258.36 	  3434.17 	  3141.96 	  1552.78 	  3630.57 	
 3265.10 	  2574.23 	   787.75 	  3125.51 	  2421.15 	
 1694.33 	  2158.88 	  2819.24 	  1526.53 	  2566.50 	
 2122.72 	  2684.97 	  3247.08 	  1534.24 	  3092.89 	
  800.95 	  3993.39 	  3335.96 	  2624.49 	  3210.68 	
 4180.72 	   927.68 	  3834.53 	  2610.12 	  3016.78 	
 3760.33 	  2548.63 	  2751.23 	  1179.45 	  4288.55 	
 4268.46 	  1702.54 	  2170.93 	  3789.13 	  1914.92 	
 2068.75 	  2733.63 	  1618.72 	  1714.82 	  5557.94 	
 2285.37 	  2629.08 	  2964.87 	  2818.31 	  2961.96 	
 3699.66 	  2059.51 	  1663.57 	  3098.16 	  1761.42 	
 4056.32 	  3815.77 	  2834.05 	  2369.51 	  1553.80 	
 4283.41 	  2542.92 	  3697.07 	  3092.08 	  3605.79 	
 2352.89 	  4164.15 	  4200.95 	  1717.11 	  1700.93 	
 3996.86 	  3380.29 	  2901.40 	  1748.98 	  1883.29 	
 3790.29 	  1772.81 	  2866.19 	  2455.31 	  3279.50 	
 1468.45 	  2615.15 	  3071.42 	  1237.78 	  1949.64 	
